公司名称,行业,国家,城市,地址,官网,联系电话,联系邮箱,海运次数,最近发货,联系备注,质量分,状态
Connected Apparel,Apparel / Textile,United States,"Los Angeles, CA","6015 Bandini Blvd, Los Angeles, CA 90040",https://www.connectedapparel.com,,,2715,2026-08-30,,65,待联系
Jaclyn Apparel,Apparel / Textile,United States,"New York, NY","500 Fashion Ave, Fl 7A, New York, NY 10018",,,,2601,2026-08-28,,60,待联系
Stony Apparel,Apparel / Textile,United States,"Los Angeles, CA","Los Angeles, CA 90040",,,,2229,2026-09-02,,55,待联系
Eo Apparel,Apparel / Textile,United States,"Buena Park, CA","6281 Beach Blvd, Ste 203, Buena Park, CA 90621",,,,2348,2025-09-30,,55,待联系
Samsung Electronics America,Electronics,United States,"Ridgefield Park, NJ","100 Challenger Rd, Ste 700, Ridgefield Park, NJ 07660",https://www.samsung.com/us,,,605555,2026-09-02,,90,待联系
LG Electronics USA,Electronics,United States,"Englewood Cliffs, NJ","111 Sylvan Ave, Englewood Cliffs, NJ 07632",https://www.lg.com/us,,,302563,2026-09-02,,90,待联系
Sony Electronics,Electronics,United States,"Long Beach, CA","2201 E Carson St, Long Beach, CA 90807",https://www.sony.com/en_us,,,12176,2026-09-02,,85,待联系
Tyco Electronics,Electronics,United States,"Ontario, CA","1643 S Parco Ave, Ontario, CA 91761",https://www.te.com,,,13472,2026-09-01,,80,待联系
Kemet Electronics,Electronics,United States,"Southaven, MS","Southaven, MS 38671",https://www.kemet.com,,,12105,2026-09-01,,75,待联系
Toys R Us,Toys,United States,"Wayne, NJ","Wayne, NJ 07470",https://www.toysrus.com,,,39145,2025-09-20,,85,待联系
Playmates Toys,Toys,United States,"Manhattan Beach, CA","909 N Sepulveda Blvd, Ste 800, Manhattan Beach, CA 90266",https://www.playmatestoys.com,,toys@playmatestoys.com,6184,2026-08-30,有投资者关系页面，上市公司,85,待联系
Moose Toys,Toys,United States,"El Segundo, CA","El Segundo, CA 90245",https://www.moosetoys.com,+1 888 995 8217,info@moosetoys.com,5262,2025-11-10,"媒体邮箱 press@moosetoys.com，美国地址 737 Campus Square West, El Segundo CA 90245，有深圳办公室",95,待联系
Jada Toys,Toys,United States,"City of Industry, CA","18521 Railroad St, City of Industry, CA 91748",https://www.jadatoys.com,,,4198,2026-08-30,,80,待联系
Linzy Toys,Toys,United States,"City of Industry, CA","18333 Gale Ave, City of Industry, CA 91748",,,,1512,2026-08-28,,65,待联系
Sasha Toys,Toys,United States,"Dallas, TX","Dallas, TX 75229",,,,888,2026-09-02,,60,待联系
Verdes Toys,Toys,United States,"Torrance, CA","2780 Skypark Dr, Ste 290, Torrance, CA 90505",,,,747,2026-08-23,,60,待联系
Kitchenware Craft,Kitchenware / Home,United States,"Vernon, CA","4200 Charter St, Vernon, CA 90058",,,,259,2026-08-27,,55,待联系
Kadra Kitchenware,Kitchenware / Home,United States,"Lakewood, NJ","1000 Airport Rd, Lakewood, NJ 08701",,,,126,2024-10-28,,50,待联系
Wilson Sporting Goods,Sporting Goods,United States,"Nashville, TN","Nashville, TN 37217",https://www.wilson.com,,,8210,2026-09-01,只有联系表单，有 Custom Products 选项,70,待联系
Rawlings Sporting Goods,Sporting Goods,United States,"Saint Louis, MO","Saint Louis, MO 63141",https://www.rawlings.com,,,8051,2026-09-01,,85,待联系
Kent Sporting Goods,Sporting Goods,United States,"New London, OH","433 Park Ave, New London, OH 44851",https://www.kentsportinggoods.com,,,2144,2026-08-23,,75,待联系
Big 5 Sporting Goods,Sporting Goods,United States,"El Segundo, CA","2525 E El Segundo Blvd, El Segundo, CA 90245",https://www.big5sportinggoods.com,,,869,2026-04-17,,75,待联系
National Sporting Goods,Sporting Goods,United States,"Fairfield, NJ","376 Hollywood Ave, Ste 202, Fairfield, NJ 07004",,,,869,2024-09-27,,60,待联系
SSF Imported Auto Parts,Auto Parts,United States,"South San Francisco, CA","466 Forbes Blvd, South San Francisco, CA 94080",https://www.ssfimport.com,,,25497,2026-09-02,,80,待联系
Pandora Jewelry,Jewelry,United States,"Columbia, MD","8681 Robert Fulton Dr, Ste C, Columbia, MD 21046",https://www.pandora.net,,,1279,2026-08-28,,85,待联系
Jacmel Jewelry,Jewelry,United States,"New York, NY","New York, NY 10018",https://www.jacmeljewelry.com,,,2603,2026-09-02,,75,待联系
Rocket Jewelry Box,Jewelry,United States,"San Clemente, CA","San Clemente, CA 92672",,,,2367,2026-09-01,,65,待联系
Noir Jewelry,Jewelry,United States,"New York, NY","358 5th Ave, New York, NY 10001",https://www.noirjewelry.com,,,1000,2025-09-07,,70,待联系
Ceci Jewelry,Jewelry,United States,"Englewood, NJ","222 Dean St S, Englewood, NJ 07631",,,,301,2026-08-12,,55,待联系
Skye Jewelry,Jewelry,United States,"Woodland Hills, CA","21031 Ventura Blvd, Ste 306, Woodland Hills, CA 91364",,,,176,2026-08-30,,55,待联系
Petco (International Pet Supplies),Pet Supplies,United States,"San Diego, CA","10850 Via Frontera, San Diego, CA 92127",https://www.petco.com,,,14209,2026-08-31,,85,待联系
Best Pet Supplies,Pet Supplies,United States,"Saint Albans, NY","104-20 Dunkirk St, Saint Albans, NY 11412",https://www.bestpetsupplies.com,,,594,2026-09-01,,70,待联系
Petco Animal Supplies Stores,Pet Supplies,United States,"San Diego, CA","10850 Via Frontera, San Diego, CA 92127",https://www.petco.com,,,795,2026-06-11,,80,待联系
Freedom Pet Supplies,Pet Supplies,Canada,"Cambridge, ON","480 Thompson Dr, Cambridge, ON N1T",,,,307,2026-08-24,,60,待联系
Value Pet Supplies,Pet Supplies,United States,"Livingston, TN","105 Industrial Park Cir, Livingston, TN 38570",,,,201,2024-12-28,,55,待联系
Michu Pet Supplies,Pet Supplies,United States,"Chino, CA","13851 Ramona Ave, Chino, CA 91710",,,,89,2026-08-25,,55,待联系
E&B Giftware,Gift / Packaging,United States,"Elmsford, NY","555 Taxter Rd, Ste 210, Elmsford, NY 10523",,,,658,2016-07-15,,60,待联系
Noble Gift Packaging,Gift / Packaging,United States,"Cedar Grove, NJ","20 Sand Park Rd, Cedar Grove, NJ 07009",,,,401,2024-11-17,,60,待联系
CTM International Giftware,Gift / Packaging,Canada,"Montreal, QC","11420 Boul Albert-Hudon, Montreal, QC H1G",,,,306,2026-07-14,,55,待联系
Giftware International,Gift / Packaging,United States,"Southampton, PA","1280 Industrial Blvd, Southampton, PA 18966",,,,271,2024-09-16,,55,待联系
Majestic Giftware,Gift / Packaging,United States,"Brooklyn, NY","Brooklyn, NY 11234",,,,111,2026-09-02,,50,待联系
Green Office Supplies,Office Supplies,United States,"Hacienda Heights, CA","Hacienda Heights, CA 91745",,,,272,2021-07-15,,55,待联系
Best Source Office Supplies,Office Supplies,United States,"Chester, NY","1673 State Rte 17M, Chester, NY 10918",,,,203,2026-08-17,,55,待联系
Brydens Xpress Office Supplies,Office Supplies,United States,"Philadelphia, PA","Philadelphia, PA 19188",,,,103,2026-05-15,,50,待联系
Gerber Plumbing Fixtures,Bathroom / Plumbing,United States,"Woodridge, IL","2500 Internationale Pkwy, Woodridge, IL 60517",https://www.gerberonline.com,,,12561,2026-09-02,,85,待联系
Kraus USA Plumbing,Bathroom / Plumbing,United States,"Port Washington, NY","Port Washington, NY 11050",https://www.kraususa.com,1-800-775-0703,,5514,2024-09-28,"短信 631-212-0703，地址 26 Harbor Park Drive, Port Washington, NY 11050，有 Purchase/Price Inquiry 选项",90,待联系
Professional Plumbing Group,Bathroom / Plumbing,United States,"Conway, SC","2951 E Hwy 501, Conway, SC 29526",,,,3872,2026-09-01,,75,待联系
Briggs Plumbing Products,Bathroom / Plumbing,United States,"Goose Creek, SC","597 Old Mt Holly Rd, Ste 201, Goose Creek, SC 29445",https://www.briggsplumbing.com,1-800-888-4458,,3156,2026-09-02,工作时间 Mon-Fri 8am-5pm ET，表单有 Business Name 字段,85,待联系
Signature Plumbing Specialties,Bathroom / Plumbing,United States,"New York, NY","230 5th Ave, Ste 1011, New York, NY 10001",,855-715-1800,,1451,2026-09-01,Signature Hardware 下单热线，可在线聊天,70,待联系
Mansfield Plumbing Products,Bathroom / Plumbing,United States,"Ashland, OH","1430 George Rd, Ashland, OH 44805",https://www.mansfieldplumbing.com,877-850-3060,,979,2025-10-05,"公司总部 1430 George Rd, Ashland, OH 44805，另在德州 Henderson 有工厂",80,待联系
HQJ Plumbing Supplies,Bathroom / Plumbing,United States,"Hormigueros, PR","Hormigueros, PR 00660",,,,1726,2026-09-02,,60,待联系
Plumbing Technologies,Bathroom / Plumbing,United States,"Sparks, NV","5245 Vista Blvd, Ste F3, Sparks, NV 89436",,,,491,2026-08-04,,55,待联系

=== LinkedIn 联系人 ===
姓名,职位,公司,国家,城市,LinkedIn,,,,,,,状态
Andy CHING,Procurement Manager,,Hong Kong,Hong Kong,https://www.linkedin.com/in/andy-ching-1178b2406/,,,,,,,待联系
Conan Cheung,,,Hong Kong,New Territories,https://www.linkedin.com/in/conan-cheung-2834931ba/,,,,,,,待联系
Nadia Lee,Procurement Manager,,Hong Kong,Central & Western,https://www.linkedin.com/in/nadia-lee-b09806152/,,,,,,,待联系
Mamiya Chan,Assistant Procurement Manager,,Hong Kong,Hong Kong,https://www.linkedin.com/in/mamiya-chan-8bb739170/,,,,,,,待联系
Fiona YU,Procurement Manager,BASF,Hong Kong,Hong Kong,https://www.linkedin.com/in/fiona-yu-2b403a363/,,,,,,,待联系
Elaine Bai,Procurement Manager,HSBC,Hong Kong,Hong Kong,https://www.linkedin.com/in/elaine-bai-36b103405/,,,,,,,待联系
Jeremy Mixson,Logistics Manager | Procurement Manager | Contract Manager,,United States,,https://www.linkedin.com/in/jeremy-mixson-fl/,,,,,,,待联系
Imane Sabbar,Procurement Commodity Manager,Indiana Wesleyan University,United States,Indiana,https://www.linkedin.com/in/imane-sabbar-607a7a239/,,,,,,,待联系
Paul Cumare Nunez,Commercial Operations Manager,UPC Global,United States,Texas,https://www.linkedin.com/in/paul-cumare-nunez/,,,,,,,待联系
Matthew Yindra,Purchasing Manager,United States Air Force,United States,,https://www.linkedin.com/in/matthew-yindra-001205421/,,,,,,,待联系
Jesse Barton,Procurement Professional,Actively Seeking Next Opportunity,United States,,https://www.linkedin.com/in/jesse-barton-60b207152/,,,,,,,待联系
Richard Mail,Procurement Manager - Technology,Virgin Atlantic,United Kingdom,,https://www.linkedin.com/in/richardjmail/,,,,,,,待联系
Helen Woodall,Product Manager,HellermannTyton,United Kingdom,England,https://www.linkedin.com/in/helen-woodall-88b5a92a/,,,,,,,待联系
Asmari Dulapandan,Procurement Analyst,AFL Group,United Kingdom,Slough,https://www.linkedin.com/in/asmari-dulapandan-b42a09135/,,,,,,,待联系
Wajdi Harb,Strategy Project Manager,Department for Transport (DfT),United Kingdom,,https://www.linkedin.com/in/wajdi-harb-a7072935a/,,,,,,,待联系
Iain Puddephatt,Commercial Relationship Manager,Department for Transport,United Kingdom,,https://www.linkedin.com/in/iain-puddephatt-3b45989/,,,,,,,待联系
